Job_Number,Category,# Total,# Complete,# In Process,# Not Started,% Complete,% Complete (Text),CategorySortOrder
11582D-197,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-198,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-199,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-203,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-204,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-205,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-21,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-95,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-97,Outside Service Routing,0,0,0,0,0.0,0%,3
11582C-01,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-06,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-07,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-08,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-09,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-10,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-100,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-101,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-102,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-103,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-105,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-106,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-108,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-11,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-113,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-114,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-115,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-119,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-12,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-123,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-124,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-125,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-126,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-13,Outside Service Routing,0,0,0,0,0.0,0%,3
